,INPC,Subyacente,Mercancìas,Servicios,No subyacente,Agropecuarios,Energéticos
1Q Ene 2016,0.026949184,0.078144134,0.192405148,-0.018223556,-0.130235325,0.230677248,-0.358523854
2Q Ene 2016,0.353612744,0.140811055,0.049089976,0.218331541,1.003940173,1.915879478,0.423699025
1Q Feb 2016,0.285249258,0.226069407,0.387406441,0.089941437,0.465369922,1.39879024,-0.137363787
2Q Feb 2016,-0.049358342,0.123506919,0.144686434,0.105583614,-0.571846136,-1.154706865,-0.189688297
1Q Mar 2016,0.096254447,0.300548979,0.225220276,0.364321296,-0.523976628,-1.01947333,-0.202240873
2Q Mar 2016,0.151350447,-0.008459339,0.0887305,-0.090624979,0.638799221,1.206724873,0.2730537
1Q Abr 2016,-0.344824707,0.147103824,0.24405623,0.064991773,-1.842595423,-1.19767614,-2.261792285
2Q Abr 2016,-0.092997537,0.155103705,0.253040279,0.072009701,-0.86395742,-1.577248359,-0.39527123
1Q May 2016,-0.483869615,0.082736129,0.073482298,0.090601719,-2.260716876,-0.280751292,-3.546265879
2Q May 2016,0.167691919,0.106738768,0.111647405,0.102567229,0.361919947,0.621641197,0.187579388
1Q Jun 2016,0.02271408,0.162623844,0.204917283,0.126678073,-0.42447579,-1.506275599,0.304839569
2Q Jun 2016,0.008410712,0.076459877,0.02166694,0.123065532,-0.212378597,-0.440457565,-0.061391314
1Q Jul 2016,0.27753015,0.114520671,-0.006943123,0.217730447,0.805372706,-0.21890766,1.480869937
2Q Jul 2016,-0.041094971,0.03582407,0.06146664,0.014084005,-0.289281919,-0.666931986,-0.044399072
1Q Ago 2016,0.313792612,0.131059512,0.269633052,0.01351962,0.903334893,0.073370708,1.43816379
2Q Ago 2016,-0.023419008,0.080862163,0.175089198,0.000732887,-0.356494586,1.227304883,-1.363363318
1Q Sep 2016,0.537926765,0.36179293,0.420059046,0.312157896,1.104848922,2.37349037,0.277152693
2Q Sep 2016,0.168086806,0.147277704,0.288720523,0.026657502,0.232046483,0.190574747,0.259669418
1Q Oct 2016,0.493445646,0.165636291,0.204003813,0.132831352,1.537071305,-0.142820903,2.655220131
2Q Oct 2016,0.05786463,0.080314896,0.112010916,0.053194952,-0.0125246,0.004533557,-0.023569163
1Q Nov 2016,0.771632987,0.232176872,0.210099049,0.25107834,2.470726827,0.671435932,3.636032589
2Q Nov 2016,-0.037712337,-0.095700954,-0.280644504,0.062569887,0.139225941,0.109892364,0.157680302
1Q Dic 2016,0.415812351,0.467465866,0.364367097,0.555393019,0.256758199,0.461855908,0.127788543
2Q Dic 2016,0.128229212,0.053227479,0.245194513,-0.110179412,0.359222,0.894450093,0.02153666
1Q Ene 2017,1.513124623,0.366564112,0.578491413,0.185524774,5.029807182,-1.02091614,8.880637259
2Q Ene 2017,0.23945552,0.369720348,0.449093367,0.301649825,-0.143087087,-0.608494299,0.126173596
1Q Feb 2017,0.333474953,0.462800361,0.688154013,0.269252341,-0.044610464,-0.85679701,0.421831136
2Q Feb 2017,0.247677029,0.230620501,0.379118994,0.102547738,0.295390433,0.446064834,0.209959379
1Q Mar 2017,0.350673053,0.312300452,0.437310168,0.204187743,0.465938702,1.404774149,-0.067626889
2Q Mar 2017,0.275587112,0.288505773,0.296382557,0.281677811,0.238100854,1.112050932,-0.265906837
1Q Abr 2017,-0.15048313,0.264257001,0.334435236,0.203414325,-1.378106836,0.525925745,-2.491335013
2Q Abr 2017,0.272864282,0.081859231,0.241995424,-0.057156149,0.846836684,1.565244755,0.413808776
1Q May 2017,-0.337779043,0.151456557,0.256761512,0.059766941,-1.795114142,0.234137831,-3.032292576
2Q May 2017,0.165096399,0.165289362,0.20222489,0.133066076,0.16304278,0.38316127,0.024322032
1Q Jun 2017,0.151353065,0.170980749,0.177952879,0.164893922,0.092831073,0.031212894,0.131802742
2Q Jun 2017,0.034022756,0.101090758,0.074140556,0.124621956,-0.169155912,0.400738994,-0.529235432
1Q Jul 2017,0.235705416,0.185149603,0.03767951,0.313846162,0.386807054,1.217196024,-0.142766968
2Q Jul 2017,0.251722206,0.064062328,0.085076667,0.045773687,0.824148474,2.105800789,-0.004346926
1Q Ago 2017,0.308549659,0.198783306,0.405911178,0.018450461,0.640920146,0.865303935,0.49281142
2Q Ago 2017,0.1169196,0.045906509,0.048096053,0.04399283,0.331940796,0.283227642,0.364214011
1Q Sep 2017,0.340943827,0.27745286,0.248435415,0.302815382,0.531154544,0.272295182,0.70251447
2Q Sep 2017,-0.17262658,-0.036374714,0.113831725,-0.167590562,-0.580614346,-0.949016683,-0.337780952
1Q Oct 2017,0.618930994,0.207590727,0.131975143,0.273832444,1.856510067,-1.516518568,4.066215063
2Q Oct 2017,0.193635685,0.125982985,0.053116272,0.189726296,0.394274519,0.214187235,0.505922519
1Q Nov 2017,0.915081379,0.27943273,0.325508018,0.239181335,2.793056024,1.079667489,3.852215397
2Q Nov 2017,0.036148285,0.003453616,-0.032832064,0.035180103,0.128345432,-0.052792343,0.237329377
1Q Dic 2017,0.43516034,0.425050212,0.270460243,0.560124494,0.46384174,0.58289715,0.392417799
2Q Dic 2017,0.275581208,-0.015560513,0.137891271,-0.149254079,1.114476331,2.49905402,0.282261922
1Q Ene 2018,0.238180666,0.168981839,0.41644936,-0.04724216,0.433617002,-1.00923516,1.320028686
2Q Ene 2018,0.309203762,0.244731429,0.144152293,0.333019834,0.492766437,-0.365469849,1.007900046
1Q Feb 2018,0.204994268,0.297693428,0.37910521,0.226364658,-0.05753948,-1.253481826,0.650533124
2Q Feb 2018,0.043188035,0.135300152,0.170130262,0.104737315,-0.217878497,-0.93523436,0.198806546
1Q Mar 2018,0.294612157,0.235418167,0.147650712,0.312482946,0.463700478,0.559093116,0.408917608
2Q Mar 2018,0.012837261,0.053180843,0.041677532,0.063264802,-0.102047386,0.584401078,-0.496856281
1Q Abr 2018,-0.34580653,0.070558267,0.273880488,-0.10763831,-1.532850499,-0.455757957,-2.159068922
2Q Abr 2018,0.002272968,0.100056194,0.074032067,0.122951488,-0.278224435,-0.658621943,-0.053212243
1Q May 2018,-0.290933335,0.127359431,0.062043844,0.184794169,-1.506566718,-0.688265467,-1.987675123
2Q May 2018,0.256069298,0.158771265,0.222055316,0.103191125,0.541370296,-0.108723819,0.928650982
1Q Jun 2018,0.134149854,0.079575263,-0.00474042,0.15371467,0.296957754,-0.70262931,0.886321376
2Q Jun 2018,0.246747251,0.144787154,0.045237003,0.232183851,0.544582484,0.874142143,0.353332149
1Q Jul 2018,0.321642946,0.188592933,0.186931313,0.190048976,0.710203405,1.105742967,0.4794723
2Q Jul 2018,0.181378931,0.051442557,0.029677063,0.070514606,0.559553872,0.714708989,0.468482726
1Q Ago 2018,0.343,0.175428095,0.299362904,0.041616568,0.862428944,0.893263483,0.840287588
2Q Ago 2018,0.296981354,0.089673567,0.143275266,0.031651091,0.930731205,1.278481808,0.68089076
1Q Sep 2018,0.222573305,0.188957105,0.214040895,0.161774241,0.325258313,-0.363516439,0.823043772
2Q Sep 2018,0.104099539,0.179296238,0.189099062,0.168667546,-0.125335034,-0.962356127,0.472470564
1Q Oct 2018,0.398138061,0.169485068,0.138255141,0.203352958,1.095635194,-0.492854785,2.213942783
2Q Oct 2018,0.1351458,0.101613325,0.012303884,0.198403736,0.238919569,0.549379197,0.026141898
1Q Nov 2018,0.613738683,0.191882156,0.237530775,0.142501686,1.886461911,1.402941037,2.219582919
2Q Nov 2018,0.333881643,0.017798374,0.040355355,-0.006625833,1.271213386,3.535198491,-0.276094739
1Q Dic 2018,0.562099285,0.421716705,0.280006892,0.575229095,0.971640792,2.560640046,-0.15585694
2Q Dic 2018,-0.055313492,0.072080449,0.075382725,0.068513636,-0.425525421,-0.599138023,-0.298984392
1Q Ene 2019,0.10971726,0.081678855,0.216519786,-0.063973794,0.191773025,1.278375569,-0.597834717
2Q Ene 2019,0.006789195,0.162675022,0.103400785,0.226881651,-0.449729929,-1.232292172,0.12967269
1Q Feb 2019,-0.09989138,0.255770309,0.337115895,0.167764266,-1.146786057,-2.780488388,0.046340933
2Q Feb 2019,0.136881243,0.188211287,0.207955627,0.166814195,-0.016919339,-1.852112387,1.285490661
1Q Mar 2019,0.256907416,0.178926963,0.188563693,0.168479275,0.492747993,0.068541711,0.784475099
2Q Mar 2019,0.117971281,0.142006649,0.09831231,0.189387485,0.044234803,0.395951162,-0.195922716
1Q Abr 2019,-0.034770179,0.396329721,0.278628053,0.523845872,-1.321521079,-0.191335084,-2.097806547
2Q Abr 2019,0.058936629,-0.024190684,0.070367579,-0.126383733,0.310530716,1.042307065,-0.201888878
1Q May 2019,-0.301268805,0.091719899,0.12587436,0.054735035,-1.488080585,0.213630553,-2.694543933
2Q May 2019,-0.032929782,0.168589264,0.251110093,0.079166344,-0.654933999,-1.119383017,-0.315812016
1Q Jun 2019,0.008719578,0.164875464,0.102413366,0.23267822,-0.47497645,-0.437789342,-0.5019101
2Q Jun 2019,0.14337612,0.108378549,0.006145955,0.219208048,0.253731705,1.654087941,-0.761163274
1Q Jul 2019,0.271831136,0.167668906,0.073704237,0.269318653,0.596664688,1.152967411,0.183677153
2Q Jul 2019,0.063673375,0.075369433,0.147050154,-0.002022553,0.027431681,0.032648214,0.023521568
1Q Ago 2019,-0.075202468,0.113621785,0.150547546,0.073694477,-0.663139585,-1.436696465,-0.083258028
2Q Ago 2019,0.053067289,0.103708197,0.158986743,0.043890378,-0.103529004,-0.153323223,-0.066707378
1Q Sep 2019,0.173582649,0.186926999,0.21484164,0.156685357,0.12996976,0.017881765,0.212784292
2Q Sep 2019,0.125148012,0.117999497,0.179947302,0.050848674,0.150086101,0.068588122,0.210182551
1Q Oct 2019,0.397088657,0.128484025,0.123158038,0.134264792,1.236939755,-0.069444405,2.198903704
2Q Oct 2019,0.159931048,0.116921395,0.086245738,0.150212724,0.293573562,0.287875647,0.297676132
1Q Nov 2019,0.680772945,0.157852801,0.10998839,0.209765368,2.30088998,1.478477193,2.892979495
2Q Nov 2019,0.089269604,0.010240797,-0.067202984,0.094150793,0.329704068,0.433161604,0.256244588
1Q Dic 2019,0.351066959,0.364455752,0.252048486,0.486052198,0.307827291,0.300363045,0.313136592
2Q Dic 2019,0.323364504,0.081352173,0.089438127,0.072625571,1.054935772,2.506571121,0.02252234
